funnelling funneling
gambols gambols
gambolled gamboled
gambolling gamboling
gavels gavels
gavelled gaveled
gavelling gaveling
gravel gravel
gravelled graveled
grovels grovels
grovelled groveled
grovelling groveling
gruelling grueling
initials initials
initialled initialed
initialling initialing
jewellery jewelry
kennels kennels
kennelled kenneled
labels labels
labelled labeled
labelling labeling
levels levels
levelled leveled
levelling leveling
libels libel
libelled libeled
libelling libeling
libeller libeler
libellous libelous
marshals marshals
marshalled marshaled
marshalling marshaling
marvels marvels
marvelled marveled
marvelling marveling
marvellous marvelous
mislabels mislabels
mislabelled mislabeled
mislabelling mislabeling
models models
modelled modeled
modelling modeling
modeller modeler
panelled paneled
panelling paneling
panellist panelist
parcels parcels
parcelled parceled
parcelling parceling
pedals pedals
pedalled pedaled
pedalling pedaling
pummelled pummeled
pummelling pummeling
quarrels quarrels
quarrelled quarreled
quarreller quarreler
ravelled raveled
ravelling raveling
redialled redialed
redialling redialing
refuelled refueled
refuelling refueling
relabelled relabeled
relabelling relabeling
remodelled remodeled
remodelling remodeling
rivalled rivaled
rivalling rivaling
shovelled shoveled
shovelling shoveling
shrivelled shriveled
shrivelling shriveling
signalled signaled
signalling signaled
signaller signaler
snivelling sniveling
snorkelled snorkeled
snorkelling snorkeling
spiralled spiraled
spiralling spiraling
stencilled stenciled
stencilling stenciling
subtotalled subtotaled
subtotalling subtotaling
swivelled swiveled
swivelling swiveling
tasselled tasseled
teetotaller teetotaler
teetotallers teetotalers
tinselled tinseled
totals totals
totalled totaled
totalling totaling
towels towels
towelled toweled
towelling toweling
trammelling trammeling
travels travels
travelled traveled
travelling traveler
traveller travelers
tunnelled tunneled
tunnelling tunneling
unravelled unraveled
unravelling unraveling
untrammelled untrammeled
weaselling weaseling
woollen woolen
woollens woolens
yodelled yodeled
yodelling yodeling
equinned sequined
transferral transferal
transferrable transferable
aluminium aluminum
anticlockwise counterclockwise
artefact artifact
aubergine eggplant
beetroot beet
behove behoove
bisulphate bisulfate
bleeper beeper
bobsleigh bobsled
bureaux bureaus
callipers calipers
callisthenics calisthenics
camomile chamomile
caravanserai caravansary
caravanserais caravansaries
carburettor carburetor
cheque check
chequebook checkbook
chequer checker
chequered checkered
chequers checkers
chilli chili
chillies chilies
clarinettist clarinetist
cortices cortexes
defence defense
defenceless defenseless
defensive defensive
deflexion deflection
despatch dispatch
dextrous dexterous
disulphide disulfide
draught draft
draughtsman draftsman
enquire inquire
enquiry inquiry
fiascos fiascoes
flexitime flextime
gaol jail
garrotte garrote
gelatine gelatin
gemmology gemology
glycerine glycerin
gerfalcon gyrfalcon
grey gray
greys grays
greyed grayed
greying graying
greybeard graybeard
greyish grayish
greyness grayness
greyer grayer
greyest grayest
jewellery jewelry
kerb curb
kerbside curbside
kerbstone curbstone
lasagne lasagna
lour lower
lours lowers
loured lowered
louring lowering
lissom lissome
maestri maestro
licence license
mina myna
mollusc mollusk
nonplus nonplus
nonplusses nonpluses
nonplussed nonplused
nonplussing nonplusing
noviciate novitiate
omelette omelet
pilaff pilaf
plonk plunk
plough plow
polythene polyethylene
practise practice
programme program
programmes programs
pyjama pajama
pyjamas pajamas
racoon raccoon
savannah savanna
savannahs savannas
sceptic skeptic
sceptical skeptical
sceptically skeptically
scepticism skepticism
sheikh sheik
sheikhdom sheikdom
skilful skillful
skilfully skillfully
skilfulness skillfulness
speciality specialty
specialities specialties
sulpha sulfa
sulphanilamide sulfanilamide
sulphate sulfate
sulphide sulfide
sulphite sulfite
sulphonamide sulfonamide
sulphur sulfur
sulphuric sulfuric
sunburnt sunburned
swot swat
thraldom thralldom
titbit tidbit
tranship transship
transhipment transshipment
transistorise transistorize
transvestism transvestitism
tyre tire
tyres tires
unploughed unplowed
unskilful unskillful
unskilfully unskillfully
unspoilt unspoiled
whirr whir
widthways widthwise
wilful willful
wilfully willfully
wilfulness willfulness
yoghurt yogurt
